"job_location","total_jobs","average_salary"
"Bethesda, MD","13","163044"
"Mountain View, CA","30","143434"
"San Mateo, CA","10","133543"
"Palo Alto, CA","12","129498"
"San Jose, CA","32","129426"
"Santa Clara, CA","11","125027"
"San Francisco, CA","73","122909"
"Oakland, CA","22","121941"
"Vienna, VA","11","121438"
"McLean, VA","20","116903"
"Arlington, VA","20","108504"
"Lisbon, Portugal","13","106529"
"Amsterdam, Netherlands","10","106505"
"Plano, TX","18","105935"
"Athens, Greece","10","105751"
"Los Angeles, CA","97","105705"
"Hyderabad, Telangana, India","10","105212"
"Menlo Park, CA","11","105126"
"Stamford, CT","12","105125"
"Dublin, Ireland","14","105065"
